Parcel ID (TMK),Petition Number,Site Address,End Year
220270390000,A10140066,2854 BOOTH RD,2023
270350750000,A10140353,2842 DATE ST,2023
320641100000,A05140356,4141 MALAPUA  PL,2018
340210010001,A20040578,2801 LA I RD,2023
340210010002,A10150017,2801 LA I RD,2024
340210010003,A20040266,2801 LA I RD,2023
340210010004,A20040579,2801 LA I RD,2023
340210060000,A05150039,3115 LA I RD,2019
340210080000,A10140354,2878 LA I RD,2023
340210100000,A10140140,2759 LAI RD,2023
340210120000,A10140355,2801 LA I RD,2023
340210130000,A20040271,2801 LA I RD,2023
340210140000,A10140332,2801 LA I RD,2023
340210160000,A10140214,3029 LA I RD,2023
340210190000,A10140357,3140 LA I RD,2023
340210200000,A10140162,3152 LA I RD,2023
340210210000,A10130159,3159 LAI RD,2022
340210230000,A10140068,2801 LA I RD,2023
340210250001,A20040876,2801 LA I RD,2023
340210250002,A20040524,2801 LA I RD,2023
340210340000,A10090054,2801 LA I RD,2018
340210350000,A10140215,3035 LA I RD,2023
340210460000,A10070093,2809 LA I RD,2016
390050200000,A10100161,587 PAKALA ST,2019
390050220000,A10100160,577 PAKALA ST,2019
390050340000,A10100227,459 PAKALA ST,2019
390050440000,A10120169,566 PAKALA ST,2021
390050480000,A10100007,523 PAKALA ST,2019
390190030000,A10090158,868 KAMILONUI PL,2018
390190030000,AV10110002,868 KAMILONUI PL,2020
390190040000,A10130108,888 KAMILONUI PL,2022
390190040000,AV10110001,888 KAMILONUI PL,2020
390190050000,A10070105,898 KAMILONUI PL,2016
390190060000,A10070106,908 KAMILONUI PL,2016
390190070000,A10070101,918 KAMILONUI PL,2016
390190080000,A10070102,928 KAMILONUI PL,2016
390190090000,A10070091,938 KAMILONUI PL,2016
390190100000,A10070108,948 KAMILONUI PL,2016
390190110000,A10070121,958 KAMILONUI PL,2016
390190120000,A10070120,968 KAMILONUI PL,2016
390190130000,A10070065,978 KAMILONUI PL,2016
390190150000,A10070391,965 KAMILONUI PL,2016
390190160000,A10070316B,955 KAMILONUI PL,2016
Parcel ID (TMK),Petition Number,Site Address,End Year
390190170000,A10070316A,945 KAMILONUI PL,2016
390190180000,A05120205,935 KAMILONUI PL,2016
390190190000,A05120206,925 KAMILONUI PL,2016
390190200000,A10120024,915 KAMILONUI PL,2021
