Parcel ID (TMK),Petition Number,Site Address,End Year
340210010002,A10150017,2801 N2 LA I RD,2024
340210060000,A10200014,3115 LA I RD,2029
340210080000,A10240384,2878 LA I RD,2033
340210130002,A10240186,2801 H LA I RD,2033
340210170000,A10200009,3002 LA I RD,2029
340210190000,A10240356,3140 LA I RD,2033
340210200000,A10240158,3152 LA I RD,2033
340210210000,A10230050,3159 LAI RD,2032
340210230000,A10240159,2801 J LA I RD,2033
340210250001,A10240357,2801 M LA I RD,2033
340210250002,A10240317,2801 M1 LA I RD,2033
340210460000,A10180007,2809 A1 LA I RD,2027
390050200000,A10200047,587 PAKALA ST,2029
390050340000,A05220044,459 PAKALA ST,2026
390050440000,A10220063,566 PAKALA ST,2031
390050480000,A10200041,523 PAKALA ST,2029
390050490000,A10180124,495 PAKALA ST,2027
390190030000,A05240374,868 KAMILONUI PL,2028
390190040000,A05230145,888 KAMILONUI PL,2027
390190050000,A10170084,898 KAMILONUI PL,2026
390190060000,A10170085,908 KAMILONUI PL,2026
390190070000,A10180129,918 KAMILONUI PL,2027
390190080000,A10180128,928 KAMILONUI PL,2027
390190090000,A10170134,938 KAMILONUI PL,2026
390190100000,A10170135,948 KAMILONUI PL,2026
390190110000,A10180122,958 KAMILONUI PL,2027
390190120000,A10170020,968 KAMILONUI PL,2026
390190130000,A10230133,978 KAMILONUI PL,2032
390190140000,AV10190020,975 KAMILONUI PL,2028
390190150000,A10180121,965 KAMILONUI PL,2027
390190160000,A05240375,955 KAMILONUI PL,2028
390190170000,A05240376,945 KAMILONUI PL,2028
390190180000,A10180057,935 KAMILONUI PL,2027
390190190000,A10180076,925 KAMILONUI PL,2027
390190200000,A05220066,915 KAMILONUI PL,2026
390190210000,A10180042,905 KAMILONUI PL,2027
390190220000,A10170045,895 KAMILONUI PL,2026
390190230000,A05220064,865 KAMILONUI PL,2026
390190240000,A05220065,855 KAMILONUI PL,2026
410080450000,A10220018,KULAIWI ST,2031
410080460000,A10230105,HILU ST,2032
410080760000,A05240271,41-131 KULAIWI ST,2028
410092690000,A10170063,41-211 HIHIMANU ST,2026
Parcel ID (TMK),Petition Number,Site Address,End Year
410100040000,A05240066,41-879 MAHAILUA ST,2028
410100050000,A10200048,41-855 MAHAILUA ST,2029
410100060000,A10160004,41-825 MAHAILUA ST,2025
410100080000,A10180086,41-928 KAKAINA ST,2027
410100100000,A10200017,41-876 WAIKUPANAHA ST,2029
410100130000,A05240154,41-936 KAKAINA ST,2033
410100140000,A05230032,41-938 KAKAINA ST,2027
410100210000,A10160035,41-874 WAIKUPANAHA ST,2025
410100220000,A10240088,41-964 KAKAINA ST,2033
410100290000,A10170046,41-1020 KAKAINA ST,2026
410100310000,A10240022,41-1019 KAKAINA ST,2033
410100340000,A10240336,41-951 KAKAINA PL,2033
410100390000,A10240488,41-1009 KAKAINA ST,2033
410100400000,A10230043,41-977 KAKAINA ST,2032
410100410000,A10170021,41-955 KAKAINA ST,2026
410100420000,A10200018,41-937 KAKAINA ST,2029
410100430000,A10170065,41-921 KAKAINA ST,2026
410100440000,A10200098,41-910 WAIKUPANAHA ST,2029
410100460000,A10200133,41-924 WAIKUPANAHA ST,2029
410100590000,A10240042,41-978 WAIKUPANAHA ST,2033
410100640000,A10170112,41-1143 WAIKUPANAHA ST,2026
410100670000,A10160253,41-1160 WAIKUPANAHA ST,2025
410100700000,A10170159,41-1020 WAIKUPANAHA ST,2026
410100810000,A10180015,41-1050 KAKAINA ST,2027
410101040000,A05240167,41-1041 KAKAINA ST,2028
410130030000,A10190263,KALANIANAOLE HWY,2028
410130320000,A10210019,41-1677 KALANIANAOLE HWY,2030
410180040000,A10240039,41-530 FLAMINGO ST,2033
410180140000,A10170061,41-565 FLAMINGO ST,2026
410180150000,A10230085,41-551 FLAMINGO ST,2032
410180220000,A10200010,41-655 KUMUHAU ST,2029
410180340000,A10150245,41-659 G KUMUHAU ST,2024
410180360000,A10240307,41-659 F KUMUHAU ST,2033
410180400000,A10170101,41-641 KUMUHAU ST,2026
410180470000,A10170102,KUMUHAU ST,2026
410180480000,A10150187,KUMUHAU ST,2024
410240180000,A10240166,41-821 WAIKUPANAHA ST,2033
410240210000,A10170022,41-710 MAHAILUA ST,2026
410240230000,A10190151,41-668 KAKAINA ST,2028
410240240000,A10220055,41-656 KAKAINA ST,2031
410240250000,A10170023,41-639 KAULUKANU ST,2026
410240260000,A10240386,41-702 MOOIKI ST,2033
410240280000,A10230038,41-712 MOOIKI ST,2032
Parcel ID (TMK),Petition Number,Site Address,End Year
410240290000,A10170074,41-723 KAULUKANU ST,2026
410240300000,A10240139,41-730 MOOIKI ST,2033
410240310000,A10170068,41-717 WAIKUPANAHA ST,2026
410240320000,A10240490,41-760 KAULUKANU ST,2033
410240350000,A10190152,41-520 HIHIMANU ST,2028
410240360000,A05240175,41-635 MOKULAMA ST,2028
410240370000,A10240092,41-679 MOKULAMA ST,2033
410240380000,A10240093,41-675 A MOKULAMA ST,2033
410240390000,AV10150007,41-709 MOKULAMA ST,2024
410240400000,AV10150008,MOKULAMA ST,2024
410240410000,A10170086,41-715 MOKULAMA ST,2026
410240430000,A10150008,41-765 MOKULAMA ST,2024
410240440000,A10150191,41-774 MOKULAMA ST,2024
410240450000,A05240358,41-555 WAIKUPANAHA ST,2028
410240460000,A05210095,41-540 MAKAKALO ST,2025
410240470000,A10170083,41-741 AHIKI ST,2026
410240480000,A10220076,41-502 MAKAKALO ST,2031
410240500000,A05230106,41-539 MAKAKALO ST,2027
410240510000,A10230025,41-569 MAKAKALO ST,2032
410240520000,A10230040,41-587 MAKAKALO ST,2032
410240530000,A10230041,41-587 MAKAKALO ST,2032
410240540000,A10170066,41-670 MOKULAMA ST,2026
410240550000,A10170090,41-630 MOKULAMA ST,2026
410240570000,A10160155,41-486 HIHIMANU ST,2025
410240590000,A10170072,41-464 HIHIMANU ST,2026
410240600000,A10230020,41-450 HIHIMANU ST,2032
410240610000,A10240491,41-450 HIHIMANU ST,2033
410240620000,A10170071,41-436 HIHIMANU ST,2026
410240630000,A10170070,AHIKI ST,2026
410240760000,A10240178,KAKAINA ST,2033
410240780000,A10240308,41-669 AHIKI ST,2033
410240790000,A10240378,41-708 KAKAINA ST,2033
410240800000,A10240185,41-769 MAHAILUA ST,2033
410240810000,A10240492,41-770 MAHAILUA ST,2033
410240820000,A10160161,41-745 MOOIKI ST,2025
410240840000,A10240493,41-730 KAULUKANU ST,2033
410240860000,A10240128,41-755 KAULUKANU ST,2033
