Parcel ID (TMK),Petition Number,Site Address
220270390000,A10040004,BOOTH RD
270350750000,A20040125,DATE ST
320641100000,A05090299,MALAPUA PL
340210010001,A20040578,LA I RD
340210010002,A10040645,LA I RD
340210010003,A20040266,LA I RD
340210010004,A20040579,LA I RD
340210060000,A10050291,LA I RD
340210080000,A10040255,LA I RD
340210100000,A10040070,LA I RD
340210120000,A10040576,LA I RD
340210130000,A20040271,LA I RD
340210140000,A10040272,LA I RD
340210160000,A10040178,LA I RD
340210190000,A10040038,LA I RD
340210200000,A10040273,LA I RD
340210210000,A10130159,LAI RD
340210230000,A10040066A,LA I RD
340210250001,A20040876,LA I RD
340210250002,A20040524,LA I RD
340210310000,A10050388,LA I RD
340210340000,A10090054,LA I RD
340210350000,A10040179,LA I RD
340210460000,A10070093,LA I RD
340210460000,A10070093,LA I RD
350240290000,A10040044,HOAKOA PL
390050200000,A05090258,PAKALA ST
390050200000,A10100161,PAKALA ST
390050220000,A10100160,PAKALA ST
390050340000,A10100227,PAKALA ST
390050440000,A10120169,PAKALA ST
390050480000,A10100007,PAKALA ST
390190030000,A10090158,KAMILONUI PL
390190030000,AV10110002,KAMILONUI PL
390190040000,A10130108,KAMILONUI PL
390190040000,AV10110001,KAMILONUI PL
390190050000,A10070105,KAMILONUI PL
390190060000,A10070106,KAMILONUI PL
390190070000,A10070101,KAMILONUI PL
390190080000,A10070102,KAMILONUI PL
390190090000,A10070091,KAMILONUI PL
390190100000,A10070108,KAMILONUI PL
390190110000,A10070121,KAMILONUI PL
390190120000,A10070120,KAMILONUI PL
390190130000,A10070065,KAMILONUI PL
390190150000,A10070391,KAMILONUI PL
390190160000,A10070316B,KAMILONUI PL
390190170000,A10070316A,KAMILONUI PL
390190180000,A05120205,KAMILONUI PL
390190190000,A05120206,KAMILONUI PL
390190200000,A10120024,KAMILONUI PL
390190210000,A10070028,KAMILONUI PL
390190220000,A05120068,KAMILONUI PL
390190230000,A10120167,KAMILONUI PL
390190240000,A10120168,KAMILONUI PL
390190250000,A10070060,HAWAII KAI DR
410080450000,A10120130,KULAIWI ST
410080460000,A10120181,HILU ST
410080540000,A20040644A,41-1800  KALANIANAOLE HWY
